Banjara,English 
Aa/Aajo,Come
Aaado khad,Middle age
Aaakhar,last
Aaangabad,Go ahead
Aaaro,Fire
Aach,Good
Aachthandri,Good wife
Aachvaat,Good way
Aadivaat,Shortcut
Aadkaant,Side pin
Aadopad,take a nap
Aagbukri,speak arrogantly
Aaj,today
Aakagaadi,leaves
Aalas,Lazy
Aamiya,Amla
Aamlya,Amla
Aanch,scorching
Aandner Jhaad,Neem tree
Aaneh,scorching
Aanger,beginning/earlier
Aangethi,Prior before
Aanjo,Come and go
Aanki Kaad,Open eyes
Aankibharan,With open eyes
Aankimaar,blink eyes
Aanthar potti,Intestines
Aapri,Swollen
Aasa,desire
Aasmaan,sky
Aaspaas,Neighbourhood
Aat,Eight
Aato,flour
Aatorukcha,Autorickshaw
Aavacha,will come
Aavo,Come
Aavo,come
Aayoga,Did he come
Abahaa!,Right now
Abba,Now
Abber,recent
Abbesi,just now
Abbethi,From now
Achogun,Virtuous
Achovego,Cured
Adaavo,Abandoned
Adai,two and half
Adbi,forest
Adbir Soor,Wild Boar
Adbir soori,Wild Boar
Adiai Badiai,fastly/worriedly
Admi,Person
Ado,Half
Ado,Obstacle
Adod/Vadod,Unite
Adoi,termite
Adsaat,Sixty eight
Adugu Bodugu,Underneath the vessel
Aduro,impoverished/immature
Agad,Scorching heat
Aiji,More
Aisath,Capable
Ajek,another one
Ajraath,Midnight
Akalla,One fold/One fold all clothes
Ali,lane
Allgu lake,Lake
Alot,sleeping
Alotri,Tumbling in the mud
Amal,weave
Amasa,New moon
Amba,Mango
Amli,Aamariad (tamarind)
Amlir jhood,Tamarind tree
Anachaki,Unexpectedly
Andaani,Income
Angli,fingers
Anka!,Ignorant
Ankaltha,Innocent
Anki,Eye
Anki aai,Conjunctivitis
Ankir bagni,Eyebrow
Ankir bhamra,eye lids
Ankirdala,eye ball
Anthar,Intestine
Anyai,Injustice
Apan,Ours
Apnema ek,One among us
Armi/Aricha,Coming
Arra,room
Arsi,Mirror
Arsola,half the measuring vessel
Asis,Blessings
Asli,Pure
Asmaan,Much
Asro,helpful
Assi,eight
