English,Banjara,Emotion
I,Ma,
He,Vor,
She,Ee,
You,Tam,
It,Vu,
Eat,Khay,
Drink,Piy,
Go,Jay,
Come,Aajo,
Good morning,Shubha savera,
Good night,Shubha raatri,
Water,Pani,
Friend,Dost,
House,Ghar,
School,School,
Book,Pustak,
Name,Naam,
Thank you,Dhanyavaad,
Sit,Beshiy,
Walk,Chalano,
fall ,pad,
betel nut ,sapaari,
smear,lip,
fruits,phaL,
clothes,kapDaa,
lime,cuno,
piece,cip,
mosquito,maacar,
sell!,wec,
peel!,chol,
you (sg) are,chi,
read!,waanc,
spear,barci,
fifty,pacaas,
old,juno,
tongue,jib,
carrot,gaajar,
hole,wej,
forest,jhol,
cheers,jhe,
to understand,samajNu,
tailor,darji,
address,ThikaaNo,
frog,miTkaa,
doctor,DaakTar,
hinge,paTTi,
butcher,khaTik,
old man,Dokraa,
daughter-in-law,boDi,
take off!,kaaD,
dirt clods,DhikaaL,
window,khiDki,
chicken,kukDi,
scar,gaDDaa,
bracelet,kwaLDaa,
he scolded,bhaaNDO,
bundle,gaNTDi,
work,kaam,
show!,dakaaL,
nose,naak,
hoof,khar,
fox,lungkDi,
hen’s comb,loLkaa,
dizzy,cakkar,
town,gaam,
salary,pagaar,
cobra,naag,
house,ghar,
crow,kaaglaa,
vegetable slicer,iLgi,
harvest,suggi,
garden,bagicaa,
increase!,labaaDi,
FALSE,bhaL,
meet!,gumbDi,
scab,tarbujaa,
melon,tarbujaa,
you (pl),tam,
he slept,suto,
night,raat,
he was satisfied,thoko,
West,aatmaN,
lamp for worship,aarti,
seventy,sattar,
seventeen,satara,
breath,dam,
straight,sudo,
pus,raad,
danger,dhoko,
man,aadmi,
memory,hardo,
male donkey,gaddaa,
duck,badak,
brass vessel,TokNo,
meat,boTi,
cut!,kaaT,
daughter-in-law,boDi,
old man,Dokraa,
bundle,gaNTDi,
bracelet,kwaLDaa,
window,khiDki,
dirt clods,DhikaaL,
take off!,kaaD,
scar,gaDDaa,
chicken,kukDi,
butcher,khaTik,
doctor,DaakTar,
frog,miTkaa,
address,ThikaaNo,
lamp for worship,aarti,
West,aatmaN,
seventy,sattar,
seventeen,satara,
danger,dhoko,
breath,dam,
straight,sudo,
pus,raad,
man,aadmi,
memory,hardo,
duck,badak,
male donkey,gaddaa,
cobra,naag,
town,gaam,
salary,pagaar,
house,ghar,
crow,kaaglaa,
garden,bagicaa,
vegetable slicer,iLgi,
harvest,suggi,
melon,tarbujaa,
increase!,labaaDi,
FALSE,bhaL,
meet!,gumbDi,
spear,barci,
carrot,gaajar,
sell!,wec,
peel!,chol,
read!,waanc,
work,kaam,
show!,dakaaL,
fox,lungkDi,
hen’s comb,loLkaa,
dizzy,cakkar,
nose,naak,
hoof,khar,
Father,Baap,
Mother,Aayi,
Brother,Bhai,
Sister,Bahin,
Son,Beta,
Daughter,Beti,
Child,Bacha,
Man,Aadmi,
Woman,Bai,
Boy,Chokro,
Girl,Chokri,
Old woman,Burhi,
Family,Kutumb,
Village,Gaav,
Market,Bajar,
Temple,Deval,
River,Dariya,
Mountain,Pahad,
